year,data type,China_Pct_60+,world_Pct_60+,Shenzhen_Pct_60+,China_aged 60+,world_aged 60+,Shenzhen_aged 60+
1979,Estimates,6.809181716,8.398372823,0.1,66000.586,366886.2365,0.3141
1980,Estimates,6.928201622,8.43186094,0.1,68115.5525,375015.973,0.3329
1981,Estimates,7.0501555,8.4737517,0.1213567,70340.887,383757.344,0.445257672
1982,Estimates,7.158539678,8.518947704,0.1261871,72558.112,392951.2365,0.567211128
1983,Estimates,7.275099843,8.570370284,0.1792696,74865.503,402578.3665,1.067012531
1984,Estimates,7.418557681,8.631327361,0.203236,77438.5875,412765.224,1.506588733
1985,Estimates,7.56407383,8.697034223,0.3193302,80164.646,423453.6795,2.814895576
1986,Estimates,7.680230032,8.759777724,0.3885836,82734.019,434316.16,3.635588469
1987,Estimates,7.782761058,8.824712449,0.410461,85315.9845,445625.599,4.327900776
1988,Estimates,7.907518168,8.897972902,0.6141521,88188.135,457533.103,7.378422829
1989,Estimates,8.038581599,8.972554396,0.6839826,91156.7925,469662.2345,9.685193391
1990,Estimates,8.166610902,9.042402479,1.0056559,94208.6125,481761.4005,16.87289479
1991,Estimates,8.310197032,9.110845516,1.0103434,97294.8335,493692.656,22.91054644
1992,Estimates,8.481913321,9.182641231,1.0107528,100474.56,505595.291,27.09019712
1993,Estimates,8.691630852,9.252792811,1.0148314,104065.6415,517374.055,34.09529171
1994,Estimates,8.919611315,9.325617005,1.0177828,107838.377,529280.173,42.00491304
1995,Estimates,9.147754848,9.402221356,1.0181003,111614.8605,541462.5495,45.72797384
1996,Estimates,9.375395743,9.483772798,1.0404801,115405.9475,554047.2925,50.24374401
1997,Estimates,9.595540493,9.576139814,1.062897,119094.055,567365.965,56.09438984
1998,Estimates,9.806664891,9.669901044,1.0685786,122666.386,580877.4045,62.01282052
1999,Estimates,9.997434407,9.758514918,1.0957193,125985.3345,594196.592,69.31081769
2000,Estimates,10.18151387,9.84420217,1.1019723,129262.5835,607554.92,77.27470425
2001,Estimates,10.38026167,9.92888764,1.1096085,132735.0075,621045.613,80.39890065
2002,Estimates,10.57770392,10.00577602,1.1193137,136120.964,634139.103,83.5702004
2003,Estimates,10.76268442,10.07161355,1.1215556,139324.8145,646634.012,87.28730912
2004,Estimates,10.95230093,10.13636765,1.1271943,142609.945,659206.2805,90.26571724
2005,Estimates,11.16082343,10.20544744,1.13254,146209.8155,672229.7745,93.7459985
2006,Estimates,11.40333168,10.305546,1.1452876,150302.0735,687529.556,99.76600284
2007,Estimates,11.6876647,10.44668154,0.9957145,154956.646,705914.529,90.84600384
2008,Estimates,12.01041426,10.60162799,1.3139645,160197.4295,725623.9395,125.3890043
2009,Estimates,12.3696793,10.7740791,1.3127808,166065.7545,746941.7375,130.6230024
2010,Estimates,12.8060394,10.97516357,1.3301099,173081.5,770646.5885,137.9589988
2011,Estimates,13.29681464,11.18901608,1.3016546,180870.0095,795642.4035,146.1680017
2012,Estimates,13.84742627,11.42018404,1.5849647,189643.392,822390.577,189.5380036
2013,Estimates,14.43101713,11.66508493,1.95851,199004.8865,850593.9145,246.2180017
2014,Estimates,15.00491041,11.91583178,1.976384,208260.95,879580.9745,260.4597448
2015,Estimates,15.61094536,12.18054686,2.4746668,217949.743,909946.763,348.4454583
2016,Estimates,16.17754715,12.44186824,2.5030972,227141.2765,940425.395,374.3006361
2017,Estimates,16.73953961,12.70768719,2.5703166,236421.679,971581.213,407.9889262
2018,Estimates,17.27684448,12.97411607,3.2744905,245159.9705,1002886.559,545.5694145
2019,Estimates,17.64392207,13.21481085,3.9059371,251164.8225,1032247.688,668.0714786
2020,Estimates,17.90664318,13.42289769,5.2842739,255367.7295,1058664.115,931.818291
2021,Estimates,18.14487857,13.5918136,5.652631163,258825.31,1081153.798,996.773674
2022,Estimates,18.6358403,13.81821256,6.12220852,265594.1885,1108415.096,1079.578006
2023,Estimates,19.56794537,14.16009322,6.651990439,278370.6425,1145797.209,1172.99869
2024,prediction,20.58655198,14.51853119,7.243437336,292189.3125,1184998.534,1277.293253
2025,prediction,21.53075609,14.85351299,7.901544188,304896.196,1222683.717,1393.342499
2026,prediction,22.46832349,15.17646084,8.636641092,317458.108,1259749.206,1522.968017
2027,prediction,23.34852411,15.48361522,9.464751999,329139.336,1295838.366,1668.995438
2028,prediction,24.30002143,15.80193687,10.40402778,341691.53,1333149.191,1834.625451
2029,prediction,25.35091638,16.13506016,11.46961367,355491.528,1372010.203,2022.528735
2030,prediction,26.40280944,16.46760479,12.66831383,369151.892,1411129.624,2233.905124
2031,prediction,27.42547515,16.79292434,13.99302848,382242.195,1449921.127,2467.502657
2032,prediction,28.3710979,17.10025216,15.41963966,394091.5815,1487419.231,2719.068419
2033,prediction,29.26100094,17.3923307,16.91085176,405000.496,1523820.199,2982.025778
2034,prediction,30.06478494,17.66721876,18.42251773,414556.385,1558917.383,3248.589932
2035,prediction,30.73373203,17.9189465,19.90981246,422105.537,1592136.059,3510.856509
2036,prediction,31.29364091,18.15296589,,428016.5155,1623907.44,
2037,prediction,31.7660597,18.37427596,,432599.751,1654631.594,
2038,prediction,32.17943627,18.58875295,,436263.9245,1684805.18,
2039,prediction,32.61364661,18.8123116,,440086.8245,1715857.468,
2040,prediction,33.08808428,19.05029183,,444312.307,1748281.516,
2041,prediction,33.60092371,19.29783242,,448905.0585,1781630.227,
2042,prediction,34.19662865,19.55945102,,454442.157,1816312.21,
2043,prediction,34.76202353,19.82035918,,459411.704,1850956.216,
2044,prediction,35.27648295,20.07571972,,463538.6255,1885084.725,
2045,prediction,35.87058915,20.34206958,,468510.7105,1920218.069,
2046,prediction,36.57130615,20.621401,,474628.841,1956535.762,
2047,prediction,37.39208499,20.91326395,,482029.0055,1993984.767,
2048,prediction,38.23443673,21.20365196,,489397.955,2031211.482,
2049,prediction,39.07744967,21.49094264,,496432.5525,2068035.592,
2050,prediction,39.99141507,21.78421858,,504007.4425,2105309.356,
2051,prediction,40.76088754,22.05283632,,509385.77,2140049.645,
2052,prediction,41.29914602,22.28341517,,511513.5185,2170909.249,
2053,prediction,41.76512749,22.4964382,,512428.818,2199839.993,
2054,prediction,42.19008868,22.69771406,,512547.704,2227383.802,
2055,prediction,42.58640137,22.89112056,,512034.3905,2253914.113,
2056,prediction,42.95286207,23.0763968,,510898.81,2279412.722,
2057,prediction,43.28395052,23.25280047,,509113.5935,2303803.108,
2058,prediction,43.58608044,23.42231371,,506785.255,2327279.592,
2059,prediction,43.86968578,23.58809971,,504063.6405,2350161.885,
2060,prediction,44.18031576,23.76014793,,501502.777,2373456.37,
2061,prediction,44.49235049,23.93526006,,498836.9845,2396856.888,
2062,prediction,44.7685818,24.10522279,,495680.931,2419553.686,
2063,prediction,45.04121518,24.27541357,,492425.1125,2442094.476,
2064,prediction,45.32909261,24.44996047,,489285.7985,2464898.984,
2065,prediction,45.64605425,24.63017471,,486419.2025,2488103.196,
2066,prediction,45.99522836,24.81732639,,483864.805,2511840.302,
2067,prediction,46.38813209,25.01455446,,481728.1425,2536427.884,
2068,prediction,46.83812742,25.22346752,,480139.261,2562023.756,
2069,prediction,47.34714759,25.44217034,,479095.46,2588430.981,
2070,prediction,47.88731445,25.66385368,,478290.9875,2614952.148,
2071,prediction,48.43861609,25.88612806,,477511.055,2641338.078,
2072,prediction,49.07594649,26.11820958,,477462.6665,2668511.882,
2073,prediction,49.75899875,26.3509384,,477713.946,2695523.874,
2074,prediction,50.44108787,26.57421475,,477802.9105,2721328.491,
2075,prediction,51.10745259,26.78983579,,477582.1055,2746091.162,
2076,prediction,51.77515833,27.00072954,,477200.052,2770099.733,
2077,prediction,52.50602041,27.20584151,,477213.847,2793235.997,
2078,prediction,53.1056675,27.38786399,,475850.035,2813707.633,
2079,prediction,53.53378536,27.54574084,,472792.713,2831395.705,
2080,prediction,53.79236083,27.67646355,,468129.281,2845992.343,
2081,prediction,53.83936799,27.78195325,,461580.3615,2857696.645,
2082,prediction,53.76641627,27.87572031,,454024.6935,2867911.265,
2083,prediction,53.61734703,27.96189371,,445884.3605,2877068.4,
2084,prediction,53.44577615,28.04721287,,437622.2225,2885866.149,
2085,prediction,53.27916249,28.13371234,,429491.3495,2894524.784,
2086,prediction,53.11850563,28.22074329,,421526.817,2902985.56,
2087,prediction,52.96606362,28.3089427,,413746.375,2911323.196,
2088,prediction,52.82273745,28.39863736,,406153.57,2919580.01,
2089,prediction,52.68930923,28.49039176,,398757.4925,2927820.317,
