Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Total pop
7775,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1950,  77 985,  56 986,  54 299,  52 155,  45 864,  41 353,  36 836,  33 942,  30 875,  27 753,  22 553,  19 798,  16 211,  12 180,  7 341,  4 586,  2 298,   842,   171,   16,   1,  544 044
7776,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1951,  83 179,  58 149,  54 176,  53 050,  46 706,  41 850,  37 225,  34 520,  30 839,  28 166,  22 783,  19 980,  16 046,  12 016,  7 442,  4 453,  2 183,   804,   173,   17,   1,  553 758
7777,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1952,  88 977,  60 200,  54 133,  53 754,  47 622,  42 400,  37 626,  35 088,  30 888,  28 361,  23 226,  20 016,  15 975,  11 897,  7 622,  4 292,  2 099,   766,   172,   17,   1,  565 131
7778,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1953,  94 747,  63 272,  54 052,  53 846,  48 667,  43 240,  38 225,  35 298,  31 210,  28 448,  23 830,  19 922,  16 024,  11 870,  7 817,  4 128,  2 042,   734,   168,   17,   1,  577 557
7779,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1954,  99 577,  67 041,  54 419,  53 422,  49 834,  43 887,  39 132,  35 243,  31 711,  28 629,  24 576,  19 776,  16 121,  11 933,  7 925,  4 020,  1 986,   702,   161,   17,   1,  590 114
7780,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1955,  103 779,  71 775,  55 223,  53 029,  50 843,  44 484,  39 988,  35 438,  32 251,  28 803,  25 226,  19 766,  16 308,  11 944,  7 907,  4 019,  1 930,   663,   153,   16,   1,  603 547
7781,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1956,  106 481,  76 844,  56 415,  52 963,  51 765,  45 348,  40 517,  35 865,  32 854,  28 825,  25 652,  20 038,  16 516,  11 875,  7 835,  4 104,  1 877,   625,   143,   16,   1,  616 559
7782,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1957,  108 513,  82 471,  58 453,  52 972,  52 496,  46 280,  41 091,  36 299,  33 443,  28 922,  25 875,  20 489,  16 603,  11 877,  7 796,  4 219,  1 812,   596,   134,   15,   1,  630 356
7783,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1958,  109 677,  88 093,  61 509,  52 938,  52 627,  47 335,  41 941,  36 917,  33 687,  29 271,  25 997,  21 071,  16 581,  11 966,  7 816,  4 330,  1 747,   575,   126,   13,   1,  644 219
7784,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1959,  106 523,  92 675,  65 156,  53 290,  52 200,  48 456,  42 551,  37 776,  33 620,  29 723,  26 131,  21 686,  16 427,  12 001,  7 810,  4 333,  1 678,   543,   115,   12,   1,  652 708
7785,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1960,  98 527,  96 094,  69 486,  53 971,  51 714,  49 330,  43 020,  38 487,  33 688,  30 089,  26 126,  22 061,  16 240,  11 945,  7 629,  4 186,  1 609,   491,   98,   10,   0,  654 802
7786,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1961,  90 014,  97 921,  74 073,  55 006,  51 551,  50 116,  43 744,  38 879,  33 976,  30 511,  25 986,  22 243,  16 296,  11 908,  7 405,  4 025,  1 583,   445,   83,   8,   0,  655 773
7787,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1962,  87 260,  99 162,  79 345,  56 928,  51 549,  50 805,  44 625,  39 414,  34 380,  31 048,  26 058,  22 410,  16 658,  11 954,  7 381,  3 977,  1 616,   420,   75,   7,   0,  665 074
7788,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1963,  93 863,  99 315,  84 714,  59 873,  51 555,  50 968,  45 679,  40 270,  35 021,  31 340,  26 445,  22 585,  17 218,  12 027,  7 505,  4 016,  1 671,   409,   72,   6,   0,  684 553
7789,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1964,  104 865,  96 266,  89 263,  63 415,  51 862,  50 529,  46 766,  40 888,  35 906,  31 378,  26 980,  22 836,  17 860,  12 068,  7 658,  4 082,  1 698,   405,   68,   5,   0,  704 798
7790,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1965,  116 111,  90 660,  93 144,  67 855,  52 573,  50 109,  47 694,  41 454,  36 741,  31 643,  27 549,  23 085,  18 429,  12 201,  7 852,  4 130,  1 702,   415,   65,   4,   0,  723 416
7791,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1966,  127 634,  84 935,  95 623,  72 701,  53 771,  50 117,  48 623,  42 321,  37 307,  32 137,  28 187,  23 226,  18 854,  12 526,  8 062,  4 162,  1 709,   438,   64,   4,   0,  742 402
7792,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1967,  133 887,  83 071,  97 165,  78 144,  55 895,  50 326,  49 467,  43 316,  37 954,  32 663,  28 834,  23 445,  19 146,  12 971,  8 232,  4 241,  1 736,   463,   65,   5,   0,  761 026
7793,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1968,  133 938,  89 178,  97 404,  83 561,  58 971,  50 499,  49 752,  44 436,  38 860,  33 357,  29 194,  23 885,  19 383,  13 504,  8 371,  4 375,  1 786,   485,   66,   5,   0,  781 011
7794,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1969,  134 172,  99 838,  94 506,  88 098,  62 569,  50 969,  49 477,  45 615,  39 557,  34 297,  29 331,  24 471,  19 699,  14 100,  8 492,  4 531,  1 848,   499,   67,   5,   0,  802 140
7795,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1970,  135 740,  111 019,  89 095,  91 965,  67 043,  51 832,  49 228,  46 652,  40 211,  35 195,  29 688,  25 095,  20 019,  14 644,  8 686,  4 714,  1 900,   508,   71,   4,   0,  823 309
7796,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1971,  137 090,  122 524,  83 538,  94 431,  71 830,  53 041,  49 286,  47 611,  41 104,  35 803,  30 241,  25 772,  20 240,  15 079,  9 022,  4 908,  1 948,   522,   77,   4,   0,  844 070
7797,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1972,  138 241,  128 931,  81 736,  95 961,  77 126,  55 018,  49 410,  48 393,  42 060,  36 446,  30 796,  26 444,  20 522,  15 408,  9 443,  5 085,  2 025,   544,   83,   4,   0,  863 678
7798,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1973,  137 402,  129 190,  87 760,  96 215,  82 417,  57 931,  49 493,  48 625,  43 138,  37 338,  31 507,  26 856,  21 008,  15 704,  9 932,  5 253,  2 138,   577,   89,   4,   0,  882 577
7799,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1974,  133 664,  129 613,  98 312,  93 397,  86 930,  61 493,  49 980,  48 389,  44 330,  38 063,  32 473,  27 080,  21 641,  16 078,  10 468,  5 415,  2 268,   616,   94,   4,   0,  900 308
7800,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1975,  127 877,  131 402,  109 413,  88 093,  90 792,  65 941,  50 865,  48 186,  45 387,  38 749,  33 399,  27 507,  22 304,  16 452,  10 960,  5 625,  2 409,   651,   98,   5,   0,  916 117
7801,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1976,  120 959,  133 005,  120 845,  82 637,  93 276,  70 718,  52 101,  48 288,  46 369,  39 661,  34 040,  28 105,  22 997,  16 733,  11 365,  5 924,  2 553,   684,   105,   6,   0,  930 372
7802,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1977,  114 033,  134 456,  127 255,  80 891,  94 850,  76 018,  54 107,  48 466,  47 184,  40 636,  34 711,  28 702,  23 681,  17 059,  11 688,  6 273,  2 688,   729,   113,   7,   0,  943 546
7803,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1978,  107 210,  133 947,  127 594,  86 895,  95 172,  81 328,  57 044,  48 609,  47 469,  41 737,  35 622,  29 442,  24 135,  17 561,  11 989,  6 662,  2 823,   791,   125,   8,   0,  956 161
7804,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1979,  102 140,  130 572,  128 086,  97 388,  92 442,  85 865,  60 618,  49 147,  47 294,  42 947,  36 373,  30 417,  24 426,  18 192,  12 354,  7 074,  2 953,   858,   137,   8,   0,  969 288
7805,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1980,  99 796,  125 163,  129 932,  108 432,  87 236,  89 743,  65 067,  50 069,  47 147,  44 024,  37 085,  31 353,  24 903,  18 845,  12 718,  7 453,  3 111,   929,   148,   9,   0,  983 164
7806,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1981,  99 695,  118 611,  131 605,  119 819,  81 871,  92 249,  69 838,  51 333,  47 298,  45 030,  38 011,  32 019,  25 535,  19 524,  13 012,  7 779,  3 321,  1 002,   159,   10,   0,  997 721
7807,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1982,  102 117,  111 995,  133 127,  126 225,  80 176,  93 844,  75 117,  53 346,  47 515,  45 866,  38 993,  32 709,  26 159,  20 192,  13 341,  8 049,  3 558,  1 073,   174,   11,   0, 1 013 588
7808,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1983,  104 911,  105 411,  132 691,  126 595,  86 157,  94 185,  80 395,  56 266,  47 691,  46 183,  40 095,  33 619,  26 906,  20 666,  13 814,  8 308,  3 817,  1 148,   194,   13,   0, 1 029 065
7809,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1984,  106 585,  100 503,  129 408,  127 118,  96 587,  91 502,  84 908,  59 814,  48 251,  46 051,  41 305,  34 378,  27 868,  21 009,  14 402,  8 621,  4 085,  1 222,   216,   14,   0, 1 043 850
7810,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1985,  108 747,  98 260,  124 103,  128 987,  107 560,  86 364,  88 765,  64 233,  49 190,  45 947,  42 387,  35 102,  28 798,  21 519,  15 010,  8 938,  4 333,  1 310,   240,   16,   0, 1 059 808
7811,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1986,  111 750,  98 216,  117 656,  130 685,  118 872,  81 064,  91 260,  68 973,  50 464,  46 135,  43 399,  36 026,  29 473,  22 162,  15 635,  9 204,  4 554,  1 423,   264,   18,   0, 1 077 234
7812,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1987,  115 096,  100 646,  111 137,  132 228,  125 236,  79 392,  92 850,  74 211,  52 471,  46 385,  44 247,  37 003,  30 164,  22 796,  16 253,  9 500,  4 745,  1 548,   290,   20,   0, 1 096 217
7813,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1988,  118 962,  103 452,  104 640,  131 816,  125 601,  85 314,  93 187,  79 443,  55 362,  46 590,  44 592,  38 097,  31 061,  23 533,  16 722,  9 911,  4 937,  1 682,   318,   23,   1, 1 115 244
7814,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1989,  123 318,  105 149,  99 798,  128 570,  126 111,  95 631,  90 515,  83 910,  58 867,  47 167,  44 504,  39 294,  31 821,  24 461,  17 096,  10 417,  5 170,  1 819,   346,   27,   1, 1 133 991
7815,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1990,  127 304,  107 304,  97 599,  123 330,  127 986,  106 513,  85 428,  87 734,  63 242,  48 117,  44 444,  40 373,  32 548,  25 358,  17 611,  10 936,  5 402,  1 943,   379,   31,   1, 1 153 583
7816,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1991,  127 572,  110 275,  97 577,  116 939,  129 674,  117 716,  80 163,  90 200,  67 932,  49 394,  44 667,  41 384,  33 455,  26 025,  18 234,  11 464,  5 604,  2 057,   420,   35,   1, 1 170 789
7817,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1992,  122 854,  113 575,  100 012,  110 471,  131 206,  124 014,  78 495,  91 771,  73 118,  51 388,  44 954,  42 241,  34 415,  26 708,  18 854,  11 997,  5 833,  2 162,   465,   40,   1, 1 184 574
7818,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1993,  116 826,  117 418,  102 826,  104 036,  130 826,  124 402,  84 386,  92 126,  78 314,  54 254,  45 203,  42 626,  35 501,  27 582,  19 563,  12 434,  6 150,  2 275,   513,   46,   1, 1 197 309
7819,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1994,  110 230,  121 762,  104 531,  99 213,  127 580,  124 897,  94 609,  89 481,  82 742,  57 718,  45 807,  42 594,  36 685,  28 336,  20 433,  12 813,  6 542,  2 414,   563,   51,   2, 1 209 003
7820,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1995,  102 316,  125 728,  106 687,  97 021,  122 338,  126 722,  105 367,  84 422,  86 519,  62 037,  46 771,  42 589,  37 759,  29 069,  21 288,  13 316,  6 951,  2 560,   611,   58,   2, 1 220 134
7821,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1996,  96 037,  126 056,  109 660,  97 030,  116 013,  128 429,  116 497,  79 221,  88 975,  66 687,  48 067,  42 867,  38 779,  29 966,  21 952,  13 911,  7 373,  2 697,   659,   67,   2, 1 230 945
7822,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1997,  92 470,  121 467,  112 960,  99 488,  109 625,  130 000,  122 780,  77 598,  90 558,  71 832,  50 061,  43 207,  39 648,  30 906,  22 618,  14 495,  7 795,  2 849,   704,   77,   3, 1 241 140
7823,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1998,  89 547,  115 559,  116 800,  102 328,  103 277,  129 673,  123 202,  83 468,  90 935,  76 986,  52 899,  43 506,  40 074,  31 965,  23 443,  15 139,  8 155,  3 048,   752,   87,   3, 1 250 847
7824,Estimates,China,5,156,CHN,CN,156,Country/Area,906,1999,  86 982,  109 096,  121 147,  104 074,  98 581,  126 572,  123 799,  93 681,  88 374,  81 401,  56 330,  44 153,  40 110,  33 115,  24 167,  15 905,  8 486,  3 291,   810,   97,   4, 1 260 177
7825,Estimates,China,5,156,CHN,CN,156,Country/Area,906,2000,  85 176,  101 316,  125 116,  106 257,  96 489,  121 481,  125 718,  104 424,  83 424,  85 169,  60 606,  45 144,  40 170,  34 160,  24 866,  16 652,  8 900,  3 536,   868,   106,   5, 1 269 581
