Id,JDNAME,ratio_pop,ratio_child,ratio_labor,ratio_old
0,布吉,2.322690306,3.622814124,2.033950946,4.356544004
1,布吉,2.322690306,3.622814124,2.033950946,4.356544004
2,南澳,0.648221637,0.827786977,0.569818484,1.67262427
3,葵涌,0.728515354,0.855438048,0.683839975,1.230088197
4,龙城,1.032790398,1.534438793,0.913494517,1.828797433
5,桃源,0.920192043,1.08840051,0.87629484,1.22730542
6,新安,1.096075918,1.859223965,0.96771805,1.983177573
7,盐田,0.529857404,0.701054974,0.497152473,0.636912108
8,坪地,0.862559819,0.909160933,0.856301772,0.836471827
9,西丽,0.839335242,0.798999385,0.854103057,0.71050897
10,葵涌,0.728515354,0.855438048,0.683839975,1.230088197
11,龙田,0.55828226,0.581945191,0.55793284,0.48795227
12,龙岗,1.841597622,2.461916062,1.718688614,2.316216522
13,吉华,1.47402252,3.012964106,1.259690886,3.157938842
14,新桥,1.151349327,1.693095925,1.090308406,1.338545407
15,大浪,1.27398401,1.995108214,1.189943817,1.615465016
16,坑梓,0.93554093,1.136669549,0.870190321,0.8974072
17,南澳,0.648221637,0.827786977,0.569818484,1.67262427
18,观湖,1.361897993,2.347528484,1.238478236,2.111823904
19,西乡,1.631334739,2.788388017,1.47720122,2.81787235
20,葵涌,0.728515354,0.855438048,0.683839975,1.230088197
21,梅林,0.839620488,0.99390063,0.799138721,0.996311587
22,观澜,0.879911918,1.167959005,0.843848794,1.091015454
23,华强北,0.629263389,0.748715152,0.601006495,0.718269465
24,大鹏,0.552416995,0.593533944,0.529832153,0.882928136
25,梅林,0.839620488,0.99390063,0.799138721,0.996311587
26,龙田,0.55828226,0.581945191,0.55793284,0.48795227
27,民治,1.831956428,3.464319524,1.598459078,4.035224565
28,园山,1.307601366,1.42019498,1.296267564,1.166472805
29,坪地,0.862559819,0.909160933,0.856301772,0.836471827
30,观澜,0.879911918,1.167959005,0.843848794,1.091015454
31,航城,1.099995116,1.499080794,1.052127897,1.333922652
32,,,,,
33,松岗,0.80411268,1.296844841,0.745411299,1.079422783
34,龙华,1.597569043,2.400187451,1.498110496,2.173665143
35,马峦,1.118321354,1.350914941,1.074899653,1.241103468
36,马峦,1.118321354,1.350914941,1.074899653,1.241103468
37,园山,1.307601366,1.42019498,1.296267564,1.166472805
38,葵涌,0.728515354,0.855438048,0.683839975,1.230088197
39,盐田,0.529857404,0.701054974,0.497152473,0.636912108
40,沙井,0.894402413,1.228040985,0.855552605,1.051024182
41,莲花,0.934726965,1.171741746,0.844112017,1.476212193
42,清水河,0.869689725,1.025353918,0.836546113,0.95397477
43,西乡,1.631334739,2.788388017,1.47720122,2.81787235
44,招商,0.698220414,0.85345792,0.63570293,1.281710956
45,园山,1.307601366,1.42019498,1.296267564,1.166472805
46,马田,1.434209198,2.386391483,1.323481277,1.877162999
47,大浪,1.27398401,1.995108214,1.189943817,1.615465016
48,西乡,1.631334739,2.788388017,1.47720122,2.81787235
49,南澳,0.648221637,0.827786977,0.569818484,1.67262427
50,坑梓,0.93554093,1.136669549,0.870190321,0.8974072
51,航城,1.099995116,1.499080794,1.052127897,1.333922652
52,盐田,0.529857404,0.701054974,0.497152473,0.636912108
53,马田,1.434209198,2.386391483,1.323481277,1.877162999
54,西丽,0.839335242,0.798999385,0.854103057,0.71050897
55,松岗,0.80411268,1.296844841,0.745411299,1.079422783
56,南澳,0.648221637,0.827786977,0.569818484,1.67262427
57,平湖,0.879836468,1.058752781,0.852515303,0.9394891
58,沙井,0.894402413,1.228040985,0.855552605,1.051024182
59,新安,1.096075918,1.859223965,0.96771805,1.983177573
60,莲花,0.934726965,1.171741746,0.844112017,1.476212193
61,龙岗,1.841597622,2.461916062,1.718688614,2.316216522
62,西乡,1.631334739,2.788388017,1.47720122,2.81787235
63,平湖,0.879836468,1.058752781,0.852515303,0.9394891
64,葵涌,0.728515354,0.855438048,0.683839975,1.230088197
65,凤凰,1.34591813,1.702140729,1.304595232,1.508264749
66,南澳,0.648221637,0.827786977,0.569818484,1.67262427
67,桃源,0.920192043,1.08840051,0.87629484,1.22730542
68,南澳,0.648221637,0.827786977,0.569818484,1.67262427
69,龙城,1.032790398,1.534438793,0.913494517,1.828797433
70,福保,1.533961032,2.023869224,1.401277409,2.074928431
71,西丽,0.839335242,0.798999385,0.854103057,0.71050897
72,坂田,1.868042149,3.107379837,1.704528568,3.085177833
73,坪地,0.862559819,0.909160933,0.856301772,0.836471827
74,宝龙,0.782480518,0.904079009,0.762111348,0.798386063
75,大鹏,0.552416995,0.593533944,0.529832153,0.882928136
76,公明,1.096042471,1.73918053,1.022954368,1.33889803
77,葵涌,0.728515354,0.855438048,0.683839975,1.230088197
78,福田,1.162937815,1.381736609,1.145141306,0.96554888
79,园山,1.307601366,1.42019498,1.296267564,1.166472805
80,南澳,0.648221637,0.827786977,0.569818484,1.67262427
81,南澳,0.648221637,0.827786977,0.569818484,1.67262427
82,莲花,0.934726965,1.171741746,0.844112017,1.476212193
83,蛇口,3.289384078,4.238587763,3.031069758,4.940171198
