Year,Gender,Age Group,Population
2020,Female,0,71492
2020,Female,1-4,235245
2020,Female,5-9,239487
2020,Female,10-14,194036
2020,Female,15-19,462889
2020,Female,20-24,943196
2020,Female,25-29,1242382
2020,Female,30-34,1186959
2020,Female,35-39,674809
2020,Female,40-44,460469
2020,Female,45-49,400109
2020,Female,50-54,258625
2020,Female,55-59,172112
2020,Female,60-64,111680
2020,Female,65-69,93423
2020,Female,70-74,52154
2020,Female,75-79,26354
2020,Female,80+,29766
2020,Male,0,84396
2020,Male,1-4,291907
2020,Male,5-9,318015
2020,Male,10-14,266308
2020,Male,15-19,468937
2020,Male,20-24,995180
2020,Male,25-29,1537307
2020,Male,30-34,1544025
2020,Male,35-39,875158
2020,Male,40-44,589020
2020,Male,45-49,526690
2020,Male,50-54,337646
2020,Male,55-59,183634
2020,Male,60-64,112896
2020,Male,65-69,88281
2020,Male,70-74,52151
2020,Male,75-79,24750
2020,Male,80+,20576
2025,Female,0,71492
2025,Female,1-4,235245
2025,Female,5-9,239487
2025,Female,10-14,194036
2025,Female,15-19,194036
2025,Female,20-24,462889
2025,Female,25-29,943196
2025,Female,30-34,1242382
2025,Female,35-39,1186959
2025,Female,40-44,674809
2025,Female,45-49,460469
2025,Female,50-54,400109
2025,Female,55-59,258625
2025,Female,60-64,172112
2025,Female,65-69,111680
2025,Female,70-74,93423
2025,Female,75-79,52154
2025,Female,80+,26354
2025,Male,0,84396
2025,Male,1-4,291907
2025,Male,5-9,318015
2025,Male,10-14,266308
2025,Male,15-19,266308
2025,Male,20-24,468937
2025,Male,25-29,995180
2025,Male,30-34,1537307
2025,Male,35-39,1544025
2025,Male,40-44,875158
2025,Male,45-49,589020
2025,Male,50-54,526690
2025,Male,55-59,337646
2025,Male,60-64,183634
2025,Male,65-69,112896
2025,Male,70-74,88281
2025,Male,75-79,52151
2025,Male,80+,24750
2030,Female,0,71492
2030,Female,1-4,235245
2030,Female,5-9,239487
2030,Female,10-14,194036
2030,Female,15-19,239487
2030,Female,20-24,194036
2030,Female,25-29,462889
2030,Female,30-34,943196
2030,Female,35-39,1242382
2030,Female,40-44,1186959
2030,Female,45-49,674809
2030,Female,50-54,460469
2030,Female,55-59,400109
2030,Female,60-64,258625
2030,Female,65-69,172112
2030,Female,70-74,111680
2030,Female,75-79,93423
2030,Female,80+,52154
2030,Male,0,84396
2030,Male,1-4,291907
2030,Male,5-9,318015
2030,Male,10-14,266308
2030,Male,15-19,318015
2030,Male,20-24,266308
2030,Male,25-29,468937
2030,Male,30-34,995180
2030,Male,35-39,1537307
2030,Male,40-44,1544025
2030,Male,45-49,875158
2030,Male,50-54,589020
2030,Male,55-59,526690
2030,Male,60-64,337646
2030,Male,65-69,183634
2030,Male,70-74,112896
2030,Male,75-79,88281
2030,Male,80+,52151
2035,Female,0,71492
2035,Female,1-4,235245
2035,Female,5-9,239487
2035,Female,10-14,194036
2035,Female,15-19,235245
2035,Female,20-24,239487
2035,Female,25-29,194036
2035,Female,30-34,462889
2035,Female,35-39,943196
2035,Female,40-44,1242382
2035,Female,45-49,1186959
2035,Female,50-54,674809
2035,Female,55-59,460469
2035,Female,60-64,526690
2035,Female,65-69,337646
2035,Female,70-74,183634
2035,Female,75-79,112896
2035,Female,80+,88281
2035,Male,0,84396
2035,Male,1-4,291907
2035,Male,5-9,318015
2035,Male,10-14,266308
2035,Male,15-19,291907
2035,Male,20-24,318015
2035,Male,25-29,266308
2035,Male,30-34,468937
2035,Male,35-39,995180
2035,Male,40-44,1537307
2035,Male,45-49,1544025
2035,Male,50-54,875158
2035,Male,55-59,589020
2035,Male,60-64,526690
2035,Male,65-69,337646
2035,Male,70-74,183634
2035,Male,75-79,112896
2035,Male,80+,88281
