Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5月9日,10月14日,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Total pop
1,Estimates,World,,900,,,1,World,0,1950,343353,266840,257539,236816,220067,193287,162896,158665,143579,124751,104001,84810,70170,52277,36002,22006,10799,4049,1010,160,15,2493092
2,Estimates,World,,900,,,1,World,0,1951,357004,270793,259230,239783,222920,197595,166578,158501,145655,127027,106506,86650,70796,53159,36426,22292,10814,4022,1008,153,15,2536927
3,Estimates,World,,900,,,1,World,0,1952,369809,278771,259826,243509,225179,202038,171538,157573,147586,129366,109028,88671,71386,54251,36942,22538,10894,4009,1004,152,15,2584085
4,Estimates,World,,900,,,1,World,0,1953,382937,289155,259661,247126,227022,206710,177243,156313,149593,131713,111683,90753,72029,55578,37587,22775,11047,4010,1004,151,15,2634105
5,Estimates,World,,900,,,1,World,0,1954,394916,301756,260058,250134,228935,210796,183036,155801,151428,134179,114468,92763,73006,56841,38336,23024,11208,4036,1009,150,15,2685895
6,Estimates,World,,900,,,1,World,0,1955,405902,316708,261364,252494,231274,214315,188090,157475,152487,136638,116941,95091,74541,57731,39140,23342,11411,4087,1017,152,14,2740214
7,Estimates,World,,900,,,1,World,0,1956,415776,330708,265404,254328,234292,217405,192468,161396,152480,138767,119212,97626,76408,58440,40007,23736,11644,4126,1019,154,14,2795410
8,Estimates,World,,900,,,1,World,0,1957,425253,343724,273462,255096,237909,219764,196840,166486,151641,140742,121589,100132,78399,59152,41031,24195,11844,4175,1017,154,14,2852619
9,Estimates,World,,900,,,1,World,0,1958,433848,356940,284148,255211,241419,221625,201379,172204,150436,142629,123867,102752,80414,59893,42270,24726,12040,4257,1023,155,14,2911250
10,Estimates,World,,900,,,1,World,0,1959,437784,368984,296836,255814,244570,223487,205343,177882,149949,144369,126123,105392,82205,60809,43331,25289,12221,4346,1044,158,14,2965950
11,Estimates,World,,900,,,1,World,0,1960,436596,379524,311424,256985,247139,225541,208762,182687,151592,145322,128360,107479,84186,62021,43920,25828,12418,4443,1070,161,14,3015472
12,Estimates,World,,900,,,1,World,0,1961,434965,388563,324859,260806,249104,228343,211873,186849,155459,145146,130278,109390,86370,63505,44406,26442,12671,4565,1097,164,14,3064869
